BASO4.R100;BaSO4 Powder
nm;%R
780;98.39999
779;98.39999
778;98.39999
777;98.39999
776;98.39999
775;98.39999
774;98.39999
773;98.39999
772;98.39999
771;98.39999
770;98.39999
769;98.39999
768;98.39999
767;98.39999
766;98.39999
765;98.39999
764;98.39999
763;98.39999
762;98.39999
761;98.39999
760;98.39999
759;98.39999
758;98.39999
757;98.39999
756;98.39999
755;98.39999
754;98.39999
753;98.39999
752;98.39999
751;98.39999
750;98.39999
749;98.39999
748;98.39999
747;98.39999
746;98.39999
745;98.39999
744;98.39999
743;98.39999
742;98.39999
741;98.39999
740;98.39999
739;98.39999
738;98.39999
737;98.39999
736;98.39999
735;98.39999
734;98.39999
733;98.39999
732;98.39999
731;98.39999
730;98.39999
729;98.39999
728;98.39999
727;98.39999
726;98.39999
725;98.39999
724;98.39999
723;98.39999
722;98.39999
721;98.39999
720;98.39999
719;98.39999
718;98.39999
717;98.39999
716;98.39999
715;98.39999
714;98.39999
713;98.39999
712;98.39999
711;98.39999
710;98.39999
709;98.39999
708;98.39999
707;98.39999
706;98.39999
705;98.39999
704;98.39999
703;98.39999
702;98.39999
701;98.39999
700;98.39999
699;98.39999
698;98.39999
697;98.39999
696;98.39999
695;98.39999
694;98.39999
693;98.39999
692;98.39999
691;98.39999
690;98.39999
689;98.39999
688;98.39999
687;98.39999
686;98.39999
685;98.39999
684;98.39999
683;98.39999
682;98.39999
681;98.39999
680;98.39999
679;98.39999
678;98.39999
677;98.39999
676;98.39999
675;98.39999
674;98.39999
673;98.39999
672;98.39999
671;98.39999
670;98.39999
669;98.39999
668;98.39999
667;98.39999
666;98.39999
665;98.39999
664;98.39999
663;98.39999
662;98.39999
661;98.39999
660;98.39999
659;98.40031
658;98.40062
657;98.40088
656;98.40109
655;98.40124
654;98.40126
653;98.40117
652;98.40095
651;98.40054
650;98.39999
649;98.39854
648;98.39694
647;98.39516
646;98.39325
645;98.39122
644;98.3891
643;98.38689
642;98.38462
641;98.38231
640;98.37999
639;98.37797
638;98.37596
637;98.37396
636;98.37196
635;98.36998
634;98.36798
633;98.36597
632;98.36397
631;98.36197
630;98.35999
629;98.35799
628;98.35599
627;98.35398
626;98.35198
625;98.35
624;98.348
623;98.34599
622;98.34399
621;98.34199
620;98.34001
619;98.33801
618;98.33601
617;98.334
616;98.332
615;98.32999
614;98.328
613;98.32599
612;98.32399
611;98.32198
610;98.32001
609;98.31801
608;98.316
607;98.314
606;98.312
605;98.31
604;98.30799
603;98.30598
602;98.30399
601;98.30199
600;98.3
599;98.298
598;98.296
597;98.294
596;98.29199
595;98.28999
594;98.28799
593;98.28599
592;98.28398
591;98.28198
590;98.28
589;98.278
588;98.27599
587;98.27399
586;98.27199
585;98.26999
584;98.26798
583;98.26598
582;98.26398
581;98.26198
580;98.25999
579;98.258
578;98.25599
577;98.25399
576;98.25198
575;98.24998
574;98.24798
573;98.24598
572;98.24397
571;98.24197
570;98.23999
569;98.23797
568;98.23596
567;98.23396
566;98.23196
565;98.22998
564;98.22798
563;98.22598
562;98.22397
561;98.22197
560;98.21999
559;98.2183
558;98.21661
557;98.21489
556;98.2131
555;98.21124
554;98.20926
553;98.20718
552;98.20495
551;98.20256
550;98.20001
549;98.19658
548;98.19296
547;98.18919
546;98.18528
545;98.18124
544;98.17712
543;98.1729
542;98.16863
541;98.16432
540;98.16
539;98.156
538;98.15199
537;98.14799
536;98.14398
535;98.14
534;98.13599
533;98.13199
532;98.12798
531;98.12398
530;98.12
529;98.11597
528;98.11196
527;98.10796
526;98.10397
525;98.09997
524;98.09596
523;98.09198
522;98.08798
521;98.08397
520;98.07999
519;98.07599
518;98.07198
517;98.06798
516;98.064
515;98.05999
514;98.05598
513;98.052
512;98.048
511;98.04399
510;98.04001
509;98.03696
508;98.03391
507;98.03071
506;98.02735
505;98.02373
504;98.01981
503;98.01555
502;98.01087
501;98.0057
500;98
499;97.99171
498;97.98286
497;97.97356
496;97.96384
495;97.95375
494;97.94335
493;97.93272
492;97.92192
491;97.91098
490;97.90001
489;97.88997
488;97.87998
487;97.86996
486;97.85998
485;97.84999
484;97.83997
483;97.82999
482;97.81997
481;97.80998
480;97.8
479;97.78996
478;97.77997
477;97.76997
476;97.75996
475;97.74997
474;97.73998
473;97.72997
472;97.71998
471;97.70999
470;97.69997
469;97.68999
468;97.67999
467;97.66998
466;97.66
465;97.64998
464;97.63999
463;97.63
462;97.61999
461;97.61
460;97.59996
459;97.59161
458;97.58318
457;97.57452
456;97.56558
455;97.55624
454;97.54639
453;97.53592
452;97.52479
451;97.51282
450;97.49999
449;97.48285
448;97.4648
447;97.44594
446;97.42639
445;97.40624
444;97.3856
443;97.36455
442;97.34319
441;97.32163
440;97.29996
439;97.27998
438;97.25997
437;97.23997
436;97.21997
435;97.19997
434;97.17999
433;97.15998
432;97.13998
431;97.11997
430;97.09998
429;97.07999
428;97.05999
427;97.03999
426;97.01998
425;96.99998
424;96.98
423;96.96
422;96.93999
421;96.91999
420;96.89999
419;96.88
418;96.86
417;96.84
416;96.82
415;96.8
414;96.77999
413;96.75999
412;96.73998
411;96.71998
410;96.69995
409;96.68079
408;96.66157
407;96.64226
406;96.62278
405;96.6031
404;96.58318
403;96.56296
402;96.54238
401;96.5214
400;96.49999
399;96.47641
398;96.45238
397;96.42796
396;96.40319
395;96.37811
394;96.35279
393;96.32726
392;96.30161
391;96.27583
390;96.25001
389;96.22087
388;96.192
387;96.1636
386;96.136
385;96.10937
384;96.084
383;96.06011
382;96.03799
381;96.01786
380;96
